Epoch 0 Episode 485 Left:86 	 Right: 18	 None: 1	
Epoch 0 Episode 490 Left:131 	 Right: 49	 None: 1	
Epoch 0 Episode 495 Left:113 	 Right: 16	 None: 1	
Epoch 0 Episode 500 Left:91 	 Right: 13	 None: 0	
Epoch 0 Episode 505 Left:97 	 Right: 12	 None: 1	
Epoch 0 Episode 510 Left:60 	 Right: 12	 None: 1	
Epoch 0 Episode 515 Left:167 	 Right: 33	 None: 0	
Epoch 0 Episode 520 Left:130 	 Right: 29	 None: 1	
Epoch 0 Episode 525 Left:97 	 Right: 20	 None: 0	
Epoch 0 Episode 530 Left:123 	 Right: 20	 None: 1	
Epoch 0 Episode 535 Left:75 	 Right: 19	 None: 1	
Epoch 0 Episode 540 Left:105 	 Right: 22	 None: 1	
Epoch 0 Episode 545 Left:57 	 Right: 13	 None: 0	
Epoch 0 Episode 550 Left:37 	 Right: 8	 None: 1	
Epoch 0 Episode 555 Left:105 	 Right: 17	 None: 1	
Epoch 0 Episode 560 Left:126 	 Right: 26	 None: 0	
Epoch 0 Episode 565 Left:135 	 Right: 41	 None: 1	
Epoch 0 Episode 570 Left:109 	 Right: 44	 None: 0	
Epoch 0 Episode 575 Left:112 	 Right: 51	 None: 2	
Epoch 0 Episode 580 Left:143 	 Right: 38	 None: 0	
Epoch 0 Episode 585 Left:126 	 Right: 42	 None: 1	
Epoch 0 Episode 590 Left:156 	 Right: 45	 None: 0	
Epoch 0 Episode 595 Left:150 	 Right: 44	 None: 1	
Epoch 0 Episode 600 Left:141 	 Right: 64	 None: 0	
Epoch 0 Episode 605 Left:111 	 Right: 52	 None: 1	
Epoch 0 Episode 610 Left:103 	 Right: 57	 None: 1	
Epoch 0 Episode 615 Left:112 	 Right: 37	 None: 0	
Epoch 0 Episode 620 Left:131 	 Right: 68	 None: 1	
Epoch 0 Episode 625 Left:89 	 Right: 49	 None: 0	
Epoch 0 Episode 630 Left:74 	 Right: 36	 None: 0	
Epoch 0 Episode 635 Left:103 	 Right: 36	 None: 1	
Epoch 0 Episode 640 Left:80 	 Right: 35	 None: 0	
Epoch 0 Episode 645 Left:142 	 Right: 55	 None: 0	
Epoch 0 Episode 650 Left:113 	 Right: 55	 None: 1	
Epoch 0 Episode 655 Left:117 	 Right: 76	 None: 0	
Epoch 0 Episode 660 Left:91 	 Right: 40	 None: 0	
Epoch 0 Episode 665 Left:86 	 Right: 32	 None: 0	
Epoch 0 Episode 670 Left:156 	 Right: 75	 None: 1	
Epoch 0 Episode 675 Left:116 	 Right: 44	 None: 0	
Epoch 0 Episode 680 Left:115 	 Right: 51	 None: 0	
Epoch 0 Episode 685 Left:91 	 Right: 45	 None: 0	
Epoch 0 Episode 690 Left:71 	 Right: 37	 None: 0	
Epoch 0 Episode 695 Left:94 	 Right: 33	 None: 1	
Epoch 0 Episode 700 Left:47 	 Right: 25	 None: 0	
Epoch 0 Episode 705 Left:124 	 Right: 60	 None: 0	
Epoch 0 Episode 710 Left:146 	 Right: 81	 None: 0	
Epoch 0 Episode 715 Left:95 	 Right: 86	 None: 1	
Epoch 0 Episode 720 Left:111 	 Right: 62	 None: 0	
Epoch 0 Episode 725 Left:162 	 Right: 61	 None: 0	
Epoch 0 Episode 730 Left:120 	 Right: 78	 None: 1	
Epoch 0 Episode 735 Left:113 	 Right: 75	 None: 0	
Epoch 0 Episode 740 Left:91 	 Right: 76	 None: 0	
Epoch 0 Episode 745 Left:77 	 Right: 76	 None: 0	
Epoch 0 Episode 750 Left:87 	 Right: 64	 None: 1	
Epoch 0 Episode 755 Left:127 	 Right: 123	 None: 0	
Epoch 0 Episode 760 Left:103 	 Right: 112	 None: 1	
Epoch 0 Episode 765 Left:103 	 Right: 101	 None: 0	
Epoch 0 Episode 770 Left:59 	 Right: 73	 None: 2	
Epoch 0 Episode 775 Left:105 	 Right: 90	 None: 1	
Epoch 0 Episode 780 Left:50 	 Right: 54	 None: 1	
Epoch 0 Episode 785 Left:115 	 Right: 135	 None: 0	
Epoch 0 Episode 790 Left:68 	 Right: 83	 None: 0	
Epoch 0 Episode 795 Left:73 	 Right: 51	 None: 0	
Epoch 0 Episode 800 Left:120 	 Right: 111	 None: 0	
Epoch 0 Episode 805 Left:93 	 Right: 75	 None: 0	
Epoch 0 Episode 810 Left:83 	 Right: 118	 None: 0	
Epoch 0 Episode 815 Left:140 	 Right: 109	 None: 0	
Epoch 0 Episode 820 Left:76 	 Right: 80	 None: 0	
Epoch 0 Episode 825 Left:46 	 Right: 30	 None: 0	
Epoch 0 Episode 830 Left:50 	 Right: 69	 None: 1	
Epoch 0 Episode 835 Left:115 	 Right: 115	 None: 0	
Epoch 0 Episode 840 Left:89 	 Right: 82	 None: 0	
Epoch 0 Episode 845 Left:77 	 Right: 91	 None: 0	
Epoch 0 Episode 850 Left:74 	 Right: 86	 None: 0	
Epoch 0 Episode 855 Left:111 	 Right: 139	 None: 0	
Epoch 0 Episode 860 Left:57 	 Right: 53	 None: 0	
Epoch 0 Episode 865 Left:75 	 Right: 77	 None: 0	
Epoch 0 Episode 870 Left:132 	 Right: 118	 None: 0	
Epoch 0 Episode 875 Left:48 	 Right: 55	 None: 0	
Epoch 0 Episode 880 Left:120 	 Right: 115	 None: 0	
Epoch 0 Episode 885 Left:117 	 Right: 85	 None: 0	
Epoch 0 Episode 890 Left:91 	 Right: 53	 None: 1	
Epoch 0 Episode 895 Left:108 	 Right: 73	 None: 1	
Epoch 0 Episode 900 Left:75 	 Right: 56	 None: 2	
Epoch 0 Episode 905 Left:117 	 Right: 87	 None: 0	
Epoch 0 Episode 910 Left:89 	 Right: 49	 None: 0	
Epoch 0 Episode 915 Left:62 	 Right: 47	 None: 0	
Epoch 0 Episode 920 Left:101 	 Right: 100	 None: 0	
Epoch 0 Episode 925 Left:107 	 Right: 87	 None: 1	
Epoch 0 Episode 930 Left:94 	 Right: 62	 None: 0	
Epoch 0 Episode 935 Left:82 	 Right: 79	 None: 0	
Epoch 0 Episode 940 Left:79 	 Right: 84	 None: 1	
Epoch 0 Episode 945 Left:110 	 Right: 105	 None: 0	
Epoch 0 Episode 950 Left:81 	 Right: 75	 None: 0	
Epoch 0 Episode 955 Left:78 	 Right: 67	 None: 1	
Epoch 0 Episode 960 Left:96 	 Right: 78	 None: 0	
Epoch 0 Episode 965 Left:80 	 Right: 73	 None: 0	
Epoch 0 Episode 970 Left:113 	 Right: 99	 None: 0	
Epoch 0 Episode 975 Left:114 	 Right: 122	 None: 0	
Epoch 0 Episode 980 Left:76 	 Right: 84	 None: 0	
Epoch 0 Episode 985 Left:98 	 Right: 72	 None: 0	
Epoch 0 Episode 990 Left:115 	 Right: 75	 None: 0	
Epoch 0 Episode 995 Left:82 	 Right: 71	 None: 0	
Epoch 0 Episode 1000 Left:88 	 Right: 65	 None: 0	
Epoch 0 Episode 1005 Left:120 	 Right: 98	 None: 0	
Epoch 0 Episode 1010 Left:48 	 Right: 41	 None: 0	
Epoch 0 Episode 1015 Left:124 	 Right: 103	 None: 0	
Epoch 0 Episode 1020 Left:139 	 Right: 111	 None: 0	
Epoch 0 Episode 1025 Left:104 	 Right: 97	 None: 0	
Epoch 0 Episode 1030 Left:104 	 Right: 97	 None: 0	
Epoch 0 Episode 1035 Left:127 	 Right: 93	 None: 0	
Epoch 0 Episode 1040 Left:78 	 Right: 86	 None: 0	
Epoch 0 Episode 1045 Left:98 	 Right: 92	 None: 0	
Epoch 0 Episode 1050 Left:114 	 Right: 122	 None: 0	
Epoch 0 Episode 1055 Left:77 	 Right: 82	 None: 0	
Epoch 0 Episode 1060 Left:69 	 Right: 83	 None: 0	
Epoch 0 Episode 1065 Left:104 	 Right: 123	 None: 0	
Epoch 0 Episode 1070 Left:125 	 Right: 97	 None: 0	
Epoch 0 Episode 1075 Left:84 	 Right: 101	 None: 0	
Epoch 0 Episode 1080 Left:82 	 Right: 77	 None: 1	
Epoch 0 Episode 1085 Left:118 	 Right: 104	 None: 0	
Epoch 0 Episode 1090 Left:114 	 Right: 115	 None: 0	
Epoch 0 Episode 1095 Left:82 	 Right: 75	 None: 0	
Epoch 0 Episode 1100 Left:83 	 Right: 103	 None: 0	
Epoch 0 Episode 1105 Left:82 	 Right: 86	 None: 1	
Epoch 0 Episode 1110 Left:103 	 Right: 101	 None: 0	
Epoch 0 Episode 1115 Left:83 	 Right: 76	 None: 0	
Epoch 0 Episode 1120 Left:79 	 Right: 92	 None: 1	
Epoch 0 Episode 1125 Left:96 	 Right: 108	 None: 0	
Epoch 0 Episode 1130 Left:46 	 Right: 60	 None: 0	
Epoch 0 Episode 1135 Left:90 	 Right: 111	 None: 0	
Epoch 0 Episode 1140 Left:114 	 Right: 98	 None: 0	
Epoch 0 Episode 1145 Left:84 	 Right: 123	 None: 0	
Epoch 0 Episode 1150 Left:118 	 Right: 132	 None: 0	
Epoch 0 Episode 1155 Left:67 	 Right: 86	 None: 0	
Epoch 0 Episode 1160 Left:106 	 Right: 109	 None: 0	
Epoch 0 Episode 1165 Left:87 	 Right: 77	 None: 0	
Epoch 0 Episode 1170 Left:128 	 Right: 122	 None: 0	
Epoch 0 Episode 1175 Left:63 	 Right: 57	 None: 0	
Epoch 0 Episode 1180 Left:79 	 Right: 56	 None: 0	
Epoch 0 Episode 1185 Left:73 	 Right: 61	 None: 0	
Epoch 0 Episode 1190 Left:66 	 Right: 72	 None: 0	
Epoch 0 Episode 1195 Left:58 	 Right: 53	 None: 0	
Epoch 0 Episode 1200 Left:128 	 Right: 122	 None: 0	
Epoch 0 Episode 1205 Left:111 	 Right: 90	 None: 0	
Epoch 0 Episode 1210 Left:63 	 Right: 50	 None: 0	
Epoch 0 Episode 1215 Left:106 	 Right: 97	 None: 0	
Epoch 1 Episode 5 Left:142 	 Right: 134	 None: 0	
Epoch 1 Episode 10 Left:62 	 Right: 59	 None: 0	
Epoch 1 Episode 15 Left:79 	 Right: 119	 None: 0	
Epoch 1 Episode 20 Left:100 	 Right: 104	 None: 0	
Epoch 1 Episode 25 Left:103 	 Right: 134	 None: 0	
Epoch 1 Episode 30 Left:114 	 Right: 116	 None: 1	
Epoch 1 Episode 35 Left:106 	 Right: 114	 None: 0	
Epoch 1 Episode 40 Left:82 	 Right: 101	 None: 0	
Epoch 1 Episode 45 Left:87 	 Right: 103	 None: 0	
Epoch 1 Episode 50 Left:23 	 Right: 44	 None: 1	
Epoch 1 Episode 55 Left:73 	 Right: 96	 None: 0	
Epoch 1 Episode 60 Left:63 	 Right: 79	 None: 0	
Epoch 1 Episode 65 Left:100 	 Right: 116	 None: 0	
Epoch 1 Episode 70 Left:50 	 Right: 77	 None: 0	
Epoch 1 Episode 75 Left:80 	 Right: 91	 None: 0	
Epoch 1 Episode 80 Left:92 	 Right: 93	 None: 0	
Epoch 1 Episode 85 Left:61 	 Right: 87	 None: 1	
Epoch 1 Episode 90 Left:79 	 Right: 107	 None: 0	
Epoch 1 Episode 95 Left:58 	 Right: 86	 None: 1	
Epoch 1 Episode 100 Left:95 	 Right: 133	 None: 0	
Epoch 1 Episode 105 Left:73 	 Right: 122	 None: 0	
Epoch 1 Episode 110 Left:72 	 Right: 91	 None: 0	
Epoch 1 Episode 115 Left:60 	 Right: 64	 None: 0	
Epoch 1 Episode 120 Left:88 	 Right: 117	 None: 0	
Epoch 1 Episode 125 Left:79 	 Right: 137	 None: 1	
Epoch 1 Episode 130 Left:56 	 Right: 68	 None: 1	
Epoch 1 Episode 135 Left:96 	 Right: 112	 None: 0	
Epoch 1 Episode 140 Left:116 	 Right: 134	 None: 0	
Epoch 1 Episode 145 Left:78 	 Right: 103	 None: 0	
Epoch 1 Episode 150 Left:65 	 Right: 89	 None: 0	
Epoch 1 Episode 155 Left:112 	 Right: 126	 None: 0	
Epoch 1 Episode 160 Left:58 	 Right: 96	 None: 0	
Epoch 1 Episode 165 Left:71 	 Right: 92	 None: 0	
Epoch 1 Episode 170 Left:59 	 Right: 94	 None: 0	
Epoch 1 Episode 175 Left:70 	 Right: 110	 None: 0	
Epoch 1 Episode 180 Left:66 	 Right: 90	 None: 0	
Epoch 1 Episode 185 Left:64 	 Right: 81	 None: 0	
Epoch 1 Episode 190 Left:78 	 Right: 130	 None: 0	
Epoch 1 Episode 195 Left:101 	 Right: 143	 None: 0	
Epoch 1 Episode 200 Left:55 	 Right: 106	 None: 0	
Epoch 1 Episode 205 Left:40 	 Right: 63	 None: 0	
Epoch 1 Episode 210 Left:95 	 Right: 125	 None: 0	
Epoch 1 Episode 215 Left:81 	 Right: 124	 None: 0	
Epoch 1 Episode 220 Left:95 	 Right: 113	 None: 0	
